1991.000000 -0.062
1991.020874 2.590
1991.041626 4.890
1991.062500 5.280
1991.083374 4.890
1991.104126 4.196
1991.125000 3.522
1991.145874 3.165
1991.166626 3.261
1991.187500 3.709
1991.208374 4.312
1991.229126 4.817
1991.250000 4.974
1991.270874 4.700
1991.291626 4.057
1991.312500 3.226
1991.333374 2.459
1991.354126 1.964
1991.375000 1.842
1991.395874 2.042
1991.416626 2.384
1991.437500 2.161
1991.458374 2.768
1991.479126 3.913
1991.500000 4.257
1991.520874 4.362
1991.541626 4.155
1991.562500 3.677
1991.583374 2.963
1991.604126 2.123
1991.625000 1.378
1991.645874 0.877
1991.666626 0.703
1991.687500 0.975
1991.708374 1.567
1991.729126 2.278
1991.750000 2.944
1991.770874 3.347
1991.791626 3.402
1991.812500 3.157
1991.833374 2.771
1991.854126 2.502
1991.875000 2.554
1991.895874 3.099
1991.916626 4.198
1991.937500 5.689
1991.958374 7.367
1991.979126 8.969
1992.000000 10.515
1992.020874 11.116
1992.041626 11.063
1992.062500 10.382
1992.083374 9.263
1992.104126 8.105
1992.125000 7.120
1992.145874 7.139
1992.166626 6.882
1992.187500 6.862
1992.208374 6.903
1992.229126 5.229
1992.250000 4.799
1992.270874 4.132
1992.291626 3.229
1992.312500 2.579
1992.333374 1.548
1992.354126 1.035
1992.375000 0.654
1992.395874 0.412
1992.416626 0.239
1992.437500 0.092
1992.458374 -0.111
1992.479126 -0.447
1992.500000 -0.832
1992.520874 -1.364
1992.541626 -2.081
1992.562500 -2.934
1992.583374 -3.889
1992.604126 -4.958
1992.625000 -5.992
1992.645874 -6.933
1992.666626 -7.751
1992.687500 -8.332
1992.708374 -8.636
1992.729126 -8.763
1992.750000 -8.729
1992.770874 -8.647
1992.791626 -7.663
1992.812500 -7.721
1992.833374 -7.609
1992.854126 -7.179
1992.875000 -6.446
1992.895874 -5.326
1992.916626 -3.830
1992.937500 -2.100
1992.958374 -0.910
1992.979126 0.942
1993.000000 -0.205
1993.020874 1.088
1993.041626 2.041
1993.062500 2.553
1993.083374 2.655
1993.104126 2.422
1993.125000 1.901
