  11.1   2903147   2903054   2903147     458.495      500 
  11.2   2903523   2903374   2903523     491.874      500 
  11.3   2903868   2903655   2903868     527.269      500 
  11.4   2903905   2903960   2903905     564.357      500 
  11.5   2903991   2904354   2903991     597.205      500 
  11.6   2904588   2904796   2904588     628.670      500 
  11.7   2905487   2905388   2905487     663.296      500 
  11.8   2906292   2906126   2906292     701.027      500 
  11.9   2907021   2906962   2907021     742.870      500 
  12.0   2907683   2907843   2907683     792.027      500 
  12.1   2908803   2908689   2908803     845.469      500 
  12.2   2909647   2909553   2909647     904.414      500 
  12.3   2910412   2910507   2910412     956.847      500 
  12.4   2911484   2911520   2911484    1000.765      500 
  12.5   2912452   2912556   2912452    1028.973      500 
  12.6   2913688   2913593   2913688    1043.477      500 
  12.7   2914879   2914707   2914879    1050.865      500 
  12.8   2915876   2915939   2915876    1056.743      500 
  12.9   2916991   2917208   2916991    1059.043      500 
  13.0   2918323   2918506   2918323    1054.688      500 
  13.1   2919749   2919734   2919749    1046.297      500 
  13.2   2921258   2920899   2921258    1038.447      500 
  13.3   2922154   2921976   2922154    1027.162      500 
  13.4   2922982   2922938   2922982    1007.874      500 
  13.5   2923643   2923805   2923643     988.134      500 
  13.6   2924467   2924584   2924467     962.626      500 
  13.7   2925310   2925364   2925310     934.697      500 
  13.8   2926277   2926227   2926277     901.058      500 
  13.9   2927195   2927153   2927195     858.669      500 
  14.0   2927971   2928089   2927971     809.688      500 
  14.1   2929027   2929027   2929027     755.326      500 
  14.2   2929971   2929948   2929971     702.653      500 
  14.3   2930895   2930839   2930895     652.109      500 
  14.4   2931562   2931676   2931562     600.075      500 
  14.5   2932463   2932415   2932463     543.174      500 
  14.6   2933052   2933015   2933052     480.316      500 
  14.7   2933566   2933451   2933566     412.457      500 
  14.8   2933804   2933750   2933804     339.374      500 
  14.9   2933926   2933910   2933926     267.727      500 
  15.0   2933997   2933963   2933997     199.101      500 
  15.1   2933818   2933976   2933818     132.686      500 
  15.2   2933929   2933971   2933929      70.617      500 
  15.3   2933851   2933973   2933851      10.149      500 
  15.4   2934010   2933924   2934010     -45.905      500 
  15.5   2933910   2933824   2933910     -95.206      500 
  15.6   2933817   2933688   2933817    -131.878      500 
  15.7   2933543   2933508   2933543    -160.553      500 
  15.8   2933121   2933329   2933121    -183.223      500 
  15.9   2932949   2933094   2932949    -205.332      500 
  16.0   2932839   2932813   2932839    -226.632      500 
  16.1   2932720   2932487   2932720    -243.631      500 
  16.2   2932368   2932171   2932368    -260.613      500 
  16.3   2931787   2931875   2931787    -270.005      500 
  16.4   2931292   2931577   2931292    -278.982      500 
  16.5   2931118   2931274   2931118    -280.206      500 
  16.6   2931055   2930958   2931055    -274.479      500 
  16.7   2930882   2930674   2930882    -264.278      500 
  16.8   2930562   2930387   2930562    -254.138      500 
  16.9   2930043   2930107   2930043    -247.127      500 
  17.0   2929595   2929779   2929595    -236.306      500 
  17.1   2929415   2929439   2929415    -220.621      500 
