1969 08 20  3.225668e+02  3.240703e+02
1969 08 27  3.221646e+02  3.240923e+02
1969 09 03  3.217780e+02  3.241143e+02
1969 09 10  3.214161e+02  3.241363e+02
1969 09 17  3.210958e+02  3.241584e+02
1969 09 24  3.208390e+02  3.241806e+02
1969 10 01  3.206691e+02  3.242029e+02
1969 10 08  3.206047e+02  3.242252e+02
1969 10 15  3.206551e+02  3.242476e+02
1969 10 22  3.208177e+02  3.242701e+02
1969 10 29  3.210778e+02  3.242928e+02
1969 11 05  3.214122e+02  3.243155e+02
1969 11 12  3.217937e+02  3.243384e+02
1969 11 19  3.221964e+02  3.243614e+02
1969 11 26  3.226003e+02  3.243845e+02
1969 12 03  3.229930e+02  3.244077e+02
1969 12 10  3.233688e+02  3.244311e+02
1969 12 17  3.237270e+02  3.244546e+02
1969 12 24  3.240675e+02  3.244783e+02
1969 12 31  3.243886e+02  3.245021e+02
1970 01 07  3.246852e+02  3.245261e+02
1970 01 14  3.249491e+02  3.245502e+02
1970 01 21  3.251711e+02  3.245745e+02
1970 01 28  3.253439e+02  3.245990e+02
1970 02 04  3.254648e+02  3.246235e+02
1970 02 11  3.255374e+02  3.246483e+02
1970 02 18  3.255723e+02  3.246732e+02
1970 02 25  3.255858e+02  3.246982e+02
1970 03 04  3.255982e+02  3.247234e+02
1970 03 11  3.256309e+02  3.247487e+02
1970 03 18  3.257031e+02  3.247741e+02
1970 03 25  3.258297e+02  3.247997e+02
1970 04 01  3.260180e+02  3.248253e+02
1970 04 08  3.262661e+02  3.248511e+02
1970 04 15  3.265619e+02  3.248770e+02
1970 04 22  3.268834e+02  3.249030e+02
1970 04 29  3.272003e+02  3.249290e+02
1970 05 06  3.274780e+02  3.249551e+02
1970 05 13  3.276828e+02  3.249813e+02
1970 05 20  3.277879e+02  3.250075e+02
1970 05 27  3.277790e+02  3.250338e+02
1970 06 03  3.276582e+02  3.250601e+02
1970 06 10  3.274439e+02  3.250864e+02
1970 06 17  3.271677e+02  3.251127e+02
1970 06 24  3.268671e+02  3.251389e+02
1970 07 01  3.265767e+02  3.251652e+02
1970 07 08  3.263193e+02  3.251914e+02
1970 07 15  3.261001e+02  3.252176e+02
1970 07 22  3.259051e+02  3.252437e+02
1970 07 29  3.257053e+02  3.252697e+02
1970 08 05  3.254652e+02  3.252956e+02
1970 08 12  3.251539e+02  3.253214e+02
1970 08 19  3.247551e+02  3.253471e+02
1970 08 26  3.242745e+02  3.253727e+02
1970 09 02  3.237407e+02  3.253981e+02
1970 09 09  3.232005e+02  3.254234e+02
1970 09 16  3.227096e+02  3.254485e+02
1970 09 23  3.223214e+02  3.254734e+02
1970 09 30  3.220754e+02  3.254982e+02
1970 10 07  3.219910e+02  3.255228e+02
1970 10 14  3.220648e+02  3.255472e+02
1970 10 21  3.222738e+02  3.255713e+02
1970 10 28  3.225822e+02  3.255953e+02
1970 11 04  3.229499e+02  3.256191e+02
1970 11 11  3.233398e+02  3.256426e+02
1970 11 18  3.237236e+02  3.256659e+02
1970 11 25  3.240837e+02  3.256890e+02
1970 12 02  3.244121e+02  3.257118e+02
1970 12 09  3.247081e+02  3.257345e+02
1970 12 16  3.249747e+02  3.257568e+02
1970 12 23  3.252159e+02  3.257790e+02
1970 12 30  3.254349e+02  3.258009e+02
1971 01 06  3.256341e+02  3.258226e+02
1971 01 13  3.258156e+02  3.258441e+02
1971 01 20  3.259823e+02  3.258654e+02
1971 01 27  3.261388e+02  3.258864e+02
1971 02 03  3.262916e+02  3.259073e+02
1971 02 10  3.264487e+02  3.259279e+02
1971 02 17  3.266184e+02  3.259484e+02
1971 02 24  3.268080e+02  3.259686e+02
1971 03 03  3.270227e+02  3.259887e+02
1971 03 10  3.272638e+02  3.260086e+02
1971 03 17  3.275291e+02  3.260284e+02
1971 03 24  3.278121e+02  3.260480e+02
1971 03 31  3.281029e+02  3.260675e+02
1971 04 07  3.283888e+02  3.260868e+02
1971 04 14  3.286558e+02  3.261060e+02
1971 04 21  3.288899e+02  3.261252e+02
1971 04 28  3.290783e+02  3.261442e+02
1971 05 05  3.292100e+02  3.261632e+02
1971 05 12  3.292774e+02  3.261821e+02
1971 05 19  3.292754e+02  3.262010e+02
1971 05 26  3.292021e+02  3.262198e+02
1971 06 02  3.290579e+02  3.262386e+02
1971 06 09  3.288454e+02  3.262574e+02
1971 06 16  3.285683e+02  3.262762e+02
1971 06 23  3.282318e+02  3.262950e+02
1971 06 30  3.278421e+02  3.263139e+02
1971 07 07  3.274066e+02  3.263327e+02
1971 07 14  3.269340e+02  3.263517e+02
