1997 01 03 19 33 00 -9.000000000e-02	9.91
1997 01 03 19 33 00 -9.000000000e-02	9.91
1997 01 03 20 08 00  1.600000000e-01	10.16
1997 01 03 20 08 00  1.000000000e-02	10.01
1997 01 17 19 36 00  8.000000000e-02	10.08
1997 01 17 19 36 00  2.500000000e-01	10.25
1997 01 17 19 49 00  2.400000000e-01	10.24
1997 01 17 19 49 00  1.700000000e-01	10.17
1997 01 24 19 42 00 -4.000000000e-02	9.96
1997 01 24 19 42 00 -6.000000000e-02	9.94
1997 01 24 20 01 00  8.000000000e-02	10.08
1997 01 24 20 01 00  1.500000000e-01	10.15
1997 01 31 19 48 00 -2.300000000e-01	9.77
1997 01 31 19 48 00 -1.000000000e-01	9.9
1997 01 31 20 02 00  1.100000000e-01	10.11
1997 01 31 20 02 00  1.600000000e-01	10.16
1997 02 07 19 31 00 -9.000000000e-02	9.91
1997 02 07 19 31 00 -3.600000000e-01	9.64
1997 02 07 19 46 00 -3.000000000e-02	9.97
1997 02 07 19 46 00 -1.100000000e-01	9.89
1997 02 14 19 31 00 -3.300000000e-01	9.67
1997 02 14 19 31 00 -2.600000000e-01	9.74
1997 02 14 19 46 00  2.500000000e-01	10.25
1997 02 14 19 46 00  1.500000000e-01	10.15
1997 02 21 19 29 00  0.000000000e+00	10
1997 02 21 19 29 00  7.000000000e-02	10.07
1997 02 21 19 39 00  3.400000000e-01	10.34
1997 02 21 19 39 00  3.800000000e-01	10.38
1997 03 14 19 33 00 -2.100000000e-01	9.79
1997 03 14 19 33 00 -6.000000000e-02	9.94
1997 03 14 19 48 00  4.600000000e-01	10.46
1997 03 14 19 48 00  1.000000000e-01	10.1
1997 03 28 19 27 00 -2.700000000e-01	9.73
1997 03 28 19 27 00 -1.900000000e-01	9.81
1997 03 28 19 40 00 -3.000000000e-02	9.97
1997 03 28 19 40 00  2.000000000e-02	10.02
1997 04 04 19 29 00 -4.000000000e-01	9.6
1997 04 04 19 29 00 -2.900000000e-01	9.71
1997 04 04 19 40 00 -1.000000000e-01	9.9
1997 04 04 19 40 00 -1.100000000e-01	9.89
1997 04 25 19 36 00  2.000000000e-01	10.2
1997 04 25 19 36 00  4.000000000e-02	10.04
1997 05 02 19 26 00  2.000000000e-02	10.02
1997 05 02 19 26 00  4.000000000e-02	10.04
1997 05 02 19 39 00  4.000000000e-02	10.04
1997 05 02 19 39 00  1.000000000e-02	10.01
1997 05 09 19 40 00  1.100000000e-01	10.11
1997 05 09 19 40 00  9.000000000e-02	10.09
1997 05 09 19 40 00  2.000000000e-02	10.02
1997 05 16 19 42 00 -2.600000000e-01	9.74
1997 05 16 19 42 00 -2.500000000e-01	9.75
1997 05 16 20 03 00  5.200000000e-01	10.52
1997 05 16 20 03 00  4.900000000e-01	10.49
1997 05 16 20 03 00  3.700000000e-01	10.37
1997 05 23 19 42 00  1.000000000e-02	10.01
1997 05 23 19 42 00 -2.000000000e-02	9.98
1997 05 23 19 42 00 -4.000000000e-02	9.96
1997 06 06 19 56 00  6.000000000e-02	10.06
1997 06 06 19 56 00  2.000000000e-01	10.2
1997 06 06 19 56 00  1.200000000e-01	10.12
1997 06 13 19 51 00  7.000000000e-02	10.07
1997 06 13 19 51 00  2.300000000e-01	10.23
1997 06 13 19 51 00  1.400000000e-01	10.14
1997 06 20 19 34 00  3.300000000e-01	10.33
1997 06 20 19 34 00  1.400000000e-01	10.14
1997 06 20 19 34 00  2.200000000e-01	10.22
1997 06 27 19 25 00 -1.000000000e-01	9.9
1997 06 27 19 25 00  3.000000000e-02	10.03
1997 06 27 19 54 00  4.000000000e-01	10.4
1997 06 27 19 54 00  4.200000000e-01	10.42
1997 06 27 19 54 00  4.500000000e-01	10.45
1997 07 03 19 58 00 -7.000000000e-02	9.93
1997 07 03 19 58 00 -2.000000000e-01	9.8
1997 07 03 19 58 00 -1.100000000e-01	9.89
1997 07 25 19 18 00  1.100000000e-01	10.11
1997 07 25 19 18 00  6.000000000e-02	10.06
1997 07 25 19 38 00  3.000000000e-02	10.03
1997 07 25 19 38 00 -9.000000000e-02	9.91
1997 08 01 20 00 00  0.000000000e+00	10
1997 08 01 20 00 00 -2.000000000e-02	9.98
1997 08 08 19 28 00  1.100000000e-01	10.11
1997 08 08 19 28 00 -1.700000000e-01	9.83
1997 08 08 19 51 00 -3.000000000e-02	9.97
1997 08 08 19 51 00 -5.000000000e-02	9.95
1997 08 15 19 58 00  2.000000000e-02	10.02
1997 08 15 19 58 00  9.000000000e-02	10.09
1997 08 22 19 44 00  2.000000000e-01	10.2
1997 08 22 19 44 00  7.000000000e-02	10.07
1997 08 29 19 20 00 -7.000000000e-02	9.93
1997 08 29 19 20 00 -6.000000000e-02	9.94
1997 08 29 19 35 00  9.000000000e-02	10.09
1997 08 29 19 35 00  5.000000000e-02	10.05
1997 09 05 19 48 00  3.000000000e-02	10.03
1997 09 05 19 48 00 -5.000000000e-02	9.95
1997 09 12 19 35 00 -7.000000000e-02	9.93
1997 09 12 19 50 00  1.000000000e-02	10.01
1997 09 12 19 50 00  3.000000000e-02	10.03
1997 09 26 19 30 00 -1.000000000e-02	9.99
1997 09 26 19 30 00  1.700000000e-01	10.17
1997 09 26 19 48 00  4.500000000e-01	10.45
1997 09 26 19 48 00  1.700000000e-01	10.17
1997 10 03 19 48 00  3.300000000e-01	10.33
1997 10 03 19 48 00  2.800000000e-01	10.28
1997 10 10 19 40 00  2.300000000e-01	10.23
1997 10 10 19 40 00  3.500000000e-01	10.35
1997 10 10 19 58 00  3.800000000e-01	10.38
1997 10 10 19 58 00  1.300000000e-01	10.13
1997 10 17 19 37 00  2.000000000e-02	10.02
1997 10 17 19 37 00  1.700000000e-01	10.17
1997 10 17 19 54 00 -2.000000000e-02	9.98
1997 10 17 19 54 00  4.000000000e-02	10.04
1997 10 31 19 56 00  1.300000000e-01	10.13
1997 10 31 19 56 00  1.200000000e-01	10.12
1997 11 07 19 37 00 -3.000000000e-02	9.97
1997 11 07 19 37 00  1.900000000e-01	10.19
1997 11 07 19 50 00  1.200000000e-01	10.12
1997 11 07 19 50 00  7.000000000e-02	10.07
1997 11 14 19 46 00  1.100000000e-01	10.11
1997 11 14 19 46 00  5.000000000e-02	10.05
1997 11 21 19 26 00  2.200000000e-01	10.22
1997 11 21 19 26 00 -3.000000000e-02	9.97
1997 11 21 19 48 00  2.000000000e-02	10.02
1997 11 21 19 48 00 -1.000000000e-02	9.99
1997 11 28 19 28 00  2.700000000e-01	10.27
1997 11 28 19 28 00  1.100000000e-01	10.11
1997 11 28 19 42 00  3.000000000e-02	10.03
1997 11 28 19 42 00 -2.000000000e-02	9.98
1997 12 05 19 28 00  5.000000000e-02	10.05
1997 12 05 19 28 00  1.700000000e-01	10.17
1997 12 05 19 45 00  7.000000000e-02	10.07
1997 12 05 19 45 00  7.000000000e-02	10.07
1997 12 12 19 34 00  1.800000000e-01	10.18
1997 12 12 19 34 00  5.000000000e-02	10.05
1997 12 12 19 47 00  2.300000000e-01	10.23
1997 12 12 19 47 00  9.000000000e-02	10.09
1997 12 19 19 30 00 -9.000000000e-02	9.91
1997 12 19 19 30 00 -2.400000000e-01	9.76
1997 12 19 19 50 00  7.000000000e-02	10.07
1997 12 19 19 50 00  0.000000000e+00	10
1998 01 02 19 33 00 -4.000000000e-02	9.96
1998 01 02 19 33 00  0.000000000e+00	10
1998 01 02 19 47 00  9.000000000e-02	10.09
1998 01 02 19 47 00  1.800000000e-01	10.18
1998 01 09 19 47 00  3.400000000e-01	10.34
1998 01 09 19 47 00  0.000000000e+00	10
1998 01 16 19 36 00 -2.900000000e-01	9.71
1998 01 16 19 36 00 -4.000000000e-02	9.96
1998 01 16 19 53 00  3.000000000e-02	10.03
1998 01 16 19 53 00  8.000000000e-02	10.08
1998 01 23 19 28 00 -9.000000000e-02	9.91
1998 01 23 19 28 00  2.000000000e-02	10.02
1998 01 23 19 42 00  1.000000000e-01	10.1
1998 01 23 19 42 00  4.400000000e-01	10.44
1998 01 30 19 33 00 -8.000000000e-02	9.92
1998 01 30 19 33 00  4.000000000e-01	10.4
1998 01 30 19 53 00  9.000000000e-02	10.09
1998 01 30 19 53 00  2.000000000e-01	10.2
1998 02 06 19 34 00  2.000000000e-02	10.02
1998 02 06 19 34 00 -1.800000000e-01	9.82
1998 02 06 19 54 00 -1.900000000e-01	9.81
1998 02 06 19 54 00 -7.000000000e-02	9.93
1998 02 13 19 37 00  3.000000000e-02	10.03
1998 02 13 19 37 00  1.300000000e-01	10.13
1998 02 13 20 15 00  1.000000000e-01	10.1
1998 02 13 20 15 00 -1.000000000e-02	9.99
1998 02 27 19 38 00 -4.000000000e-02	9.96
1998 02 27 19 38 00 -3.000000000e-02	9.97
1998 02 27 19 50 00  1.200000000e-01	10.12
1998 02 27 19 50 00  1.700000000e-01	10.17
1998 03 06 20 12 00  4.000000000e-02	10.04
1998 03 06 20 12 00  8.000000000e-02	10.08
1998 03 06 20 13 00  8.000000000e-02	10.08
1998 03 06 20 13 00  8.000000000e-02	10.08
1998 03 13 19 31 00 -1.500000000e-01	9.85
1998 03 13 19 31 00 -1.200000000e-01	9.88
1998 03 13 19 47 00  3.000000000e-02	10.03
1998 03 13 19 47 00  0.000000000e+00	10
1998 03 20 19 30 00  6.000000000e-02	10.06
1998 03 20 19 30 00  3.600000000e-01	10.36
1998 03 20 19 42 00  2.100000000e-01	10.21
1998 03 20 19 42 00  1.500000000e-01	10.15
1998 03 27 19 32 00  4.000000000e-02	10.04
1998 03 27 19 32 00  1.000000000e-02	10.01
