  1979.000000000  3.360940000e+02
  1979.020833302  3.363310000e+02
  1979.041666698  3.365690000e+02
  1979.062500000  3.367930000e+02
  1979.083333302  3.369900000e+02
  1979.104166698  3.371590000e+02
  1979.125000000  3.373020000e+02
  1979.145833302  3.374300000e+02
  1979.166666698  3.375500000e+02
  1979.187500000  3.377380000e+02
  1979.208333302  3.378830000e+02
  1979.229166698  3.380290000e+02
  1979.250000000  3.381620000e+02
  1979.270833302  3.382710000e+02
  1979.291666698  3.383480000e+02
  1979.312500000  3.383880000e+02
  1979.333333302  3.383920000e+02
  1979.354166698  3.383660000e+02
  1979.375000000  3.382950000e+02
  1979.395833302  3.381790000e+02
  1979.416666698  3.380060000e+02
  1979.437500000  3.377620000e+02
  1979.458333302  3.374380000e+02
  1979.479166698  3.370330000e+02
  1979.500000000  3.365610000e+02
  1979.520833302  3.360490000e+02
  1979.541666698  3.355340000e+02
  1979.562500000  3.350590000e+02
  1979.583333302  3.346660000e+02
  1979.604166698  3.343930000e+02
  1979.625000000  3.342510000e+02
  1979.645833302  3.342410000e+02
  1979.666666698  3.344900000e+02
  1979.687500000  3.346960000e+02
  1979.708333302  3.349780000e+02
  1979.729166698  3.353120000e+02
  1979.750000000  3.356720000e+02
  1979.770833302  3.360370000e+02
  1979.791666698  3.363860000e+02
  1979.812500000  3.367040000e+02
  1979.833333302  3.369780000e+02
  1979.854166698  3.372040000e+02
  1979.875000000  3.373840000e+02
  1979.895833302  3.375280000e+02
  1979.916666698  3.376510000e+02
  1979.937500000  3.377110000e+02
  1979.958333302  3.378110000e+02
  1979.979166698  3.379560000e+02
  1980.000000000  3.381710000e+02
  1980.020833302  3.383790000e+02
  1980.041666698  3.385240000e+02
  1980.062500000  3.387470000e+02
  1980.083333302  3.389610000e+02
  1980.104166698  3.391490000e+02
  1980.125000000  3.393060000e+02
  1980.145833302  3.393990000e+02
  1980.166666698  3.394760000e+02
  1980.187500000  3.395370000e+02
  1980.208333302  3.395920000e+02
  1980.229166698  3.396580000e+02
  1980.250000000  3.397440000e+02
  1980.270833302  3.398560000e+02
  1980.291666698  3.399890000e+02
  1980.312500000  3.401210000e+02
  1980.333333302  3.402830000e+02
  1980.354166698  3.403990000e+02
  1980.375000000  3.404890000e+02
  1980.395833302  3.404880000e+02
  1980.416666698  3.404260000e+02
  1980.437500000  3.402800000e+02
  1980.458333302  3.400660000e+02
  1980.479166698  3.397330000e+02
  1980.500000000  3.393120000e+02
  1980.520833302  3.388600000e+02
  1980.541666698  3.384120000e+02
  1980.562500000  3.380010000e+02
  1980.583333302  3.376490000e+02
  1980.604166698  3.373670000e+02
  1980.625000000  3.371580000e+02
  1980.645833302  3.370190000e+02
  1980.666666698  3.369490000e+02
  1980.687500000  3.369440000e+02
  1980.708333302  3.369850000e+02
  1980.729166698  3.371490000e+02
  1980.750000000  3.372900000e+02
  1980.770833302  3.375250000e+02
  1980.791666698  3.378050000e+02
  1980.812500000  3.381100000e+02
  1980.833333302  3.384170000e+02
  1980.854166698  3.387050000e+02
  1980.875000000  3.389600000e+02
  1980.895833302  3.391740000e+02
  1980.916666698  3.393530000e+02
  1980.937500000  3.395050000e+02
  1980.958333302  3.396430000e+02
  1980.979166698  3.397760000e+02
  1981.000000000  3.399100000e+02
  1981.020833302  3.400490000e+02
  1981.041666698  3.401870000e+02
  1981.062500000  3.403240000e+02
  1981.083333302  3.404600000e+02
  1981.104166698  3.405970000e+02
  1981.125000000  3.407410000e+02
  1981.145833302  3.408960000e+02
  1981.166666698  3.410610000e+02
  1981.187500000  3.412320000e+02
  1981.208333302  3.414010000e+02
  1981.229166698  3.415390000e+02
  1981.250000000  3.416420000e+02
  1981.270833302  3.417040000e+02
  1981.291666698  3.416970000e+02
  1981.312500000  3.416800000e+02
  1981.333333302  3.416310000e+02
  1981.354166698  3.415540000e+02
  1981.375000000  3.414500000e+02
  1981.395833302  3.413150000e+02
  1981.416666698  3.411430000e+02
  1981.437500000  3.409260000e+02
  1981.458333302  3.406590000e+02
  1981.479166698  3.403430000e+02
  1981.500000000  3.399860000e+02
  1981.520833302  3.396020000e+02
  1981.541666698  3.392100000e+02
  1981.562500000  3.388460000e+02
  1981.583333302  3.384940000e+02
  1981.604166698  3.382860000e+02
  1981.625000000  3.380330000e+02
  1981.645833302  3.378580000e+02
  1981.666666698  3.377740000e+02
  1981.687500000  3.377900000e+02
  1981.708333302  3.379060000e+02
  1981.729166698  3.381130000e+02
  1981.750000000  3.383950000e+02
  1981.770833302  3.387260000e+02
  1981.791666698  3.390770000e+02
  1981.812500000  3.394210000e+02
  1981.833333302  3.397330000e+02
  1981.854166698  3.399990000e+02
  1981.875000000  3.402130000e+02
  1981.895833302  3.403790000e+02
  1981.916666698  3.405120000e+02
  1981.937500000  3.406260000e+02
  1981.958333302  3.407390000e+02
  1981.979166698  3.408670000e+02
  1982.000000000  3.410230000e+02
  1982.020833302  3.411910000e+02
  1982.041666698  3.413700000e+02
  1982.062500000  3.415500000e+02
  1982.083333302  3.417140000e+02
  1982.104166698  3.418550000e+02
  1982.125000000  3.419680000e+02
  1982.145833302  3.420560000e+02
  1982.166666698  3.421300000e+02
  1982.187500000  3.421350000e+02
  1982.208333302  3.422180000e+02
  1982.229166698  3.423080000e+02
  1982.250000000  3.423990000e+02
  1982.270833302  3.424800000e+02
  1982.291666698  3.425410000e+02
  1982.312500000  3.425680000e+02
  1982.333333302  3.425540000e+02
  1982.354166698  3.424970000e+02
  1982.375000000  3.423960000e+02
  1982.395833302  3.422530000e+02
